feature,beta_judge,se_judge,p_judge,beta_fan,se_fan,p_fan,diff,judge_sig,fan_sig
pro_experience_seasons,0.2884617122936857,0.10423266735702146,0.005649169437940851,0.033144286368507817,0.02663602951707826,0.21337432543490042,0.2553174259251779,**,
pro_win_rate,0.03239865878693149,0.09185455538594717,0.7243006494437368,0.014967941279524694,0.017769600651117462,0.3996009465534075,0.017430717507406795,,
pro_avg_placement,-0.05771150604367583,0.05613833549839189,0.30393895872305643,0.005107093645885376,0.01541781512041459,0.740458477789723,-0.0628185996895612,,
pro_current_form,5.04183422193674,0.22270679038472113,1.7951244487874546e-113,0.11185681817309406,0.02302906973403184,1.1905678469549654e-06,4.929977403763646,***,***
pro_celebrity_chemistry,0.07394186714441825,0.05475452652770051,0.1768797801212908,-0.02734242357576811,0.010136130409317384,0.006985790044036785,0.10128429072018635,,**
pro_concurrent_strength,0.1287420656635267,0.15872866239509012,0.41731820318682333,-0.29220929379819366,0.03018079177879661,3.5974314314045106e-22,0.42095135946172035,,***
age_z,-0.2465708333382014,0.08485910316304225,0.003664914125810791,0.02500350823315741,0.026179950732694662,0.33954572371082636,-0.2715743415713588,**,
age_sq,-0.06281204485439736,0.041720657771095106,0.1321857582029411,-0.016860469117961664,0.010976947667647636,0.1245411173918026,-0.04595157573643569,,
industry_physicality,0.1196451454723925,0.07103601507654876,0.09212592083448823,0.007691848343072315,0.016179517309075884,0.634497233871011,0.11195329712932017,,
celebrity_visibility,0.30705683216980717,0.13021940150801997,0.018373889309680355,-0.02685139737349882,0.014034988797257132,0.05572558281912704,0.333908229543306,*,
is_us_based,0.06310827453826212,0.09571006638226165,0.5096586842716475,-0.0007890822148025976,0.0269926631375185,0.9766785940614733,0.06389735675306472,,
pre_show_popularity,0.11967055795601507,0.04973823651109602,0.01612794437090045,-0.09225215211606999,0.010367642352059994,5.681903080116881e-19,0.21192271007208507,*,***
interact_exp_physicality,-0.24474595255006887,0.11926760775749526,0.040162474864516115,-0.025730215320823067,0.029093761807878284,0.37648602875621895,-0.2190157372292458,*,
interact_winrate_visibility,-0.20063928821106586,0.11839467143526544,0.09013901711386137,-0.030432385112762597,0.016938166827624893,0.07238719041586751,-0.17020690309830327,,
interact_week_age,-0.007342071287004509,0.07460569737153094,0.9216054081607203,-0.04510567928357903,0.023213239194395968,0.05200389903445694,0.03776360799657452,,
