season,method,celebrity_name,final_placement
1,RANK,Joey McIntyre,1
1,RANK,Rachel Hunter,2
2,RANK,Drew Lachey,1
2,RANK,Jerry Rice,2
28,RANK,Ally Brooke,1
28,RANK,Kel Mitchell,2
28,RANK,Ray Lewis,3
28,RANK,Sailor Brinkley-Cook,4
29,RANK,Charles Oakley,1
29,RANK,Jeannie Mai,2
29,RANK,Justina Machado,3
29,RANK,Kaitlyn Bristowe,4
30,RANK,Amanda Kloots,1
30,RANK,Christine Chiu,2
30,RANK,JoJo Siwa,3
30,RANK,Kenya Moore,4
30,RANK,Melanie C,5
31,RANK,Charli D'Amelio,1
31,RANK,Daniel Durant,2
31,RANK,Gabby Windey,3
31,RANK,Selma Blair,4
31,RANK,Shangela,5
31,RANK,Vinny Guadagnino,6
32,RANK,Adrian Peterson,1
32,RANK,Ariana Madix,2
32,RANK,Charity Lawson,3
32,RANK,Mauricio Umansky,4
33,RANK,Anna Delvey,1
33,RANK,Chandler Kinney,2
33,RANK,Jenn Tran,3
33,RANK,Joey Graziadei,4
34,RANK,Alix Earle,1
34,RANK,Corey Feldman,2
34,RANK,Robert Irwin,3
34,RANK,Whitney Leavitt,4
1,PERCENT,Kelly Monaco,1
1,PERCENT,Rachel Hunter,2
2,PERCENT,Drew Lachey,1
2,PERCENT,Giselle Fernandez,2
2,PERCENT,Stacy Keibler,3
28,PERCENT,Ally Brooke,1
28,PERCENT,Hannah Brown,2
28,PERCENT,Ray Lewis,3
29,PERCENT,Charles Oakley,1
29,PERCENT,Jeannie Mai,2
29,PERCENT,Justina Machado,3
29,PERCENT,Kaitlyn Bristowe,4
30,PERCENT,Amanda Kloots,1
30,PERCENT,Christine Chiu,2
30,PERCENT,Jimmie Allen,3
30,PERCENT,JoJo Siwa,4
30,PERCENT,Matt James,5
31,PERCENT,Charli D'Amelio,1
31,PERCENT,Daniel Durant,2
31,PERCENT,Gabby Windey,3
31,PERCENT,Jessie James Decker,4
31,PERCENT,Joseph Baena,5
31,PERCENT,Shangela,6
32,PERCENT,Adrian Peterson,1
32,PERCENT,Charity Lawson,2
32,PERCENT,Xochitl Gomez,3
33,PERCENT,Anna Delvey,1
33,PERCENT,Danny Amendola,2
33,PERCENT,Jenn Tran,3
33,PERCENT,Joey Graziadei,4
34,PERCENT,Alix Earle,1
34,PERCENT,Baron Davis,2
34,PERCENT,Corey Feldman,3
34,PERCENT,Robert Irwin,4
1,SAVE,John O'Hurley,1
1,SAVE,Rachel Hunter,2
1,SAVE,Trista Sutter,3
2,SAVE,Drew Lachey,1
2,SAVE,Giselle Fernandez,2
2,SAVE,Stacy Keibler,3
28,SAVE,Ally Brooke,1
28,SAVE,James Van Der Beek,2
28,SAVE,Ray Lewis,3
28,SAVE,Sailor Brinkley-Cook,4
29,SAVE,Charles Oakley,1
29,SAVE,Jeannie Mai,2
29,SAVE,Justina Machado,3
29,SAVE,Kaitlyn Bristowe,4
30,SAVE,Iman Shumpert,1
30,SAVE,JoJo Siwa,2
30,SAVE,Melanie C,3
30,SAVE,Olivia Jade,4
30,SAVE,Suni Lee,5
31,SAVE,Charli D'Amelio,1
31,SAVE,Gabby Windey,2
31,SAVE,Jordin Sparks,3
31,SAVE,Selma Blair,4
31,SAVE,Shangela,5
31,SAVE,Teresa Giudice,6
32,SAVE,Adrian Peterson,1
32,SAVE,Ariana Madix,2
32,SAVE,Jamie Lynn Spears,3
32,SAVE,Lele Pons,4
32,SAVE,Mira Sorvino,5
32,SAVE,Xochitl Gomez,6
33,SAVE,Chandler Kinney,1
33,SAVE,Jenn Tran,2
33,SAVE,Joey Graziadei,3
