Season,Week,Contestant,MAP_FanShare,Mean,Std,CI_5%,CI_95%,CI_Width,Eliminated
5,1,Cameron Mathison,0.0823,0.0824,0.0063,0.0722,0.0932,0.0210,No
5,1,Jane Seymour,0.0735,0.0618,0.0066,0.0548,0.0754,0.0206,No
5,1,Sabrina Bryan,0.1071,0.1026,0.0112,0.0810,0.1224,0.0414,No
5,1,Jennie Garth,0.0577,0.0590,0.0068,0.0509,0.0740,0.0231,No
5,1,Floyd Mayweather Jr. ,0.0630,0.0736,0.0095,0.0569,0.0872,0.0304,No
5,1,Josie Maran,0.0612,0.0624,0.0047,0.0552,0.0710,0.0157,Yes
5,1,Albert Reed,0.0776,0.0932,0.0089,0.0789,0.1084,0.0295,No
5,1,Helio Castroneves,0.1091,0.0837,0.0147,0.0678,0.1110,0.0432,No
5,1,Mel B,0.1464,0.1572,0.0109,0.1395,0.1758,0.0363,No
5,1,Wayne Newton,0.0688,0.0751,0.0077,0.0657,0.0907,0.0250,No
5,1,Marie Osmond,0.0806,0.0719,0.0097,0.0585,0.0887,0.0302,No
5,1,Mark Cuban,0.0728,0.0771,0.0081,0.0634,0.0916,0.0282,No
5,2,Cameron Mathison,0.1253,0.1273,0.0102,0.1107,0.1439,0.0332,No
5,2,Jane Seymour,0.0726,0.0736,0.0059,0.0652,0.0861,0.0210,No
5,2,Sabrina Bryan,0.1084,0.1051,0.0075,0.0939,0.1172,0.0233,No
5,2,Jennie Garth,0.0875,0.0936,0.0085,0.0801,0.1069,0.0268,No
5,2,Floyd Mayweather Jr. ,0.0835,0.0802,0.0051,0.0722,0.0892,0.0170,No
5,2,Albert Reed,0.0621,0.0652,0.0033,0.0596,0.0702,0.0106,Yes
5,2,Helio Castroneves,0.1025,0.0962,0.0076,0.0811,0.1064,0.0253,No
5,2,Mel B,0.1015,0.0977,0.0126,0.0714,0.1131,0.0417,No
5,2,Wayne Newton,0.0919,0.1041,0.0097,0.0905,0.1181,0.0276,No
5,2,Marie Osmond,0.0773,0.0696,0.0079,0.0589,0.0832,0.0243,No
5,2,Mark Cuban,0.0874,0.0873,0.0048,0.0794,0.0973,0.0179,No
5,3,Cameron Mathison,0.1110,0.1081,0.0188,0.0821,0.1336,0.0515,No
5,3,Jane Seymour,0.1088,0.0954,0.0121,0.0797,0.1152,0.0355,No
5,3,Sabrina Bryan,0.1144,0.1055,0.0199,0.0806,0.1415,0.0609,No
5,3,Jennie Garth,0.1119,0.1340,0.0156,0.1119,0.1587,0.0468,No
5,3,Floyd Mayweather Jr. ,0.0790,0.0917,0.0152,0.0742,0.1224,0.0482,No
5,3,Helio Castroneves,0.1094,0.0979,0.0060,0.0887,0.1095,0.0208,No
5,3,Mel B,0.1031,0.0875,0.0088,0.0750,0.1036,0.0286,No
5,3,Wayne Newton,0.0852,0.0918,0.0077,0.0799,0.1036,0.0238,Yes
5,3,Marie Osmond,0.0944,0.0912,0.0127,0.0733,0.1147,0.0414,No
5,3,Mark Cuban,0.0827,0.0969,0.0102,0.0809,0.1126,0.0316,No
5,4,Cameron Mathison,0.1196,0.1072,0.0158,0.0815,0.1324,0.0509,No
5,4,Jane Seymour,0.1348,0.1380,0.0131,0.1151,0.1547,0.0396,No
5,4,Sabrina Bryan,0.1033,0.1241,0.0214,0.0929,0.1640,0.0711,No
5,4,Jennie Garth,0.1031,0.1127,0.0071,0.1017,0.1255,0.0238,No
5,4,Floyd Mayweather Jr. ,0.0884,0.0852,0.0065,0.0751,0.0956,0.0205,Yes
5,4,Helio Castroneves,0.1074,0.1068,0.0115,0.0886,0.1219,0.0334,No
5,4,Mel B,0.1182,0.1113,0.0089,0.0973,0.1287,0.0315,No
5,4,Marie Osmond,0.1186,0.1104,0.0114,0.0938,0.1271,0.0333,No
5,4,Mark Cuban,0.1066,0.1043,0.0108,0.0868,0.1200,0.0332,No
5,5,Cameron Mathison,0.1372,0.1090,0.0149,0.0920,0.1391,0.0472,No
5,5,Jane Seymour,0.1327,0.1508,0.0274,0.1075,0.1917,0.0842,No
5,5,Sabrina Bryan,0.0914,0.1229,0.0161,0.0848,0.1410,0.0562,No
5,5,Jennie Garth,0.1166,0.1063,0.0089,0.0893,0.1206,0.0314,No
5,5,Helio Castroneves,0.1366,0.1355,0.0159,0.1053,0.1643,0.0590,No
5,5,Mel B,0.1624,0.1395,0.0296,0.1019,0.1850,0.0832,No
5,5,Marie Osmond,0.1235,0.1348,0.0104,0.1182,0.1510,0.0329,No
5,5,Mark Cuban,0.0997,0.1011,0.0099,0.0838,0.1160,0.0322,Yes
5,6,Cameron Mathison,0.1614,0.1665,0.0099,0.1508,0.1832,0.0325,No
5,6,Jane Seymour,0.1433,0.1504,0.0149,0.1284,0.1775,0.0491,No
5,6,Sabrina Bryan,0.0931,0.1167,0.0099,0.0993,0.1304,0.0310,Yes
5,6,Jennie Garth,0.1454,0.1594,0.0142,0.1387,0.1832,0.0445,No
5,6,Helio Castroneves,0.1764,0.1292,0.0220,0.1056,0.1794,0.0738,No
5,6,Mel B,0.1526,0.1302,0.0128,0.1131,0.1491,0.0360,No
5,6,Marie Osmond,0.1279,0.1477,0.0176,0.1192,0.1782,0.0590,No
5,7,Cameron Mathison,0.1388,0.1850,0.0250,0.1305,0.2230,0.0924,No
5,7,Jane Seymour,0.1148,0.1218,0.0127,0.1043,0.1432,0.0388,Yes
5,7,Jennie Garth,0.1664,0.1848,0.0253,0.1517,0.2326,0.0809,No
5,7,Helio Castroneves,0.1815,0.1565,0.0152,0.1336,0.1864,0.0527,No
5,7,Mel B,0.2172,0.1853,0.0209,0.1587,0.2181,0.0594,No
5,7,Marie Osmond,0.1813,0.1666,0.0190,0.1322,0.1948,0.0626,No
5,8,Cameron Mathison,0.1633,0.1589,0.0127,0.1368,0.1789,0.0421,Yes
5,8,Jennie Garth,0.1804,0.2236,0.0357,0.1800,0.2996,0.1196,No
5,8,Helio Castroneves,0.2075,0.1834,0.0150,0.1593,0.2062,0.0469,No
5,8,Mel B,0.2589,0.2078,0.0295,0.1700,0.2607,0.0907,No
5,8,Marie Osmond,0.1899,0.2263,0.0318,0.1769,0.2805,0.1036,No
5,9,Jennie Garth,0.1896,0.2027,0.0150,0.1785,0.2242,0.0458,Yes
5,9,Helio Castroneves,0.2736,0.3111,0.0201,0.2783,0.3408,0.0626,No
5,9,Mel B,0.3172,0.2458,0.0340,0.2081,0.3164,0.1083,No
5,9,Marie Osmond,0.2196,0.2403,0.0168,0.2124,0.2698,0.0573,No
5,10,Helio Castroneves,0.3259,0.2874,0.1355,0.0970,0.5423,0.4453,No
5,10,Mel B,0.3966,0.3748,0.1476,0.1424,0.6378,0.4955,No
5,10,Marie Osmond,0.2775,0.3378,0.1414,0.1212,0.5809,0.4596,No
