Season,Week,Contestant,MAP_FanShare,Mean,Std,CI_5%,CI_95%,CI_Width,Eliminated
1,1,John O'Hurley,0.1341,0.1606,0.1069,0.0253,0.3695,0.3442,No
1,1,Kelly Monaco,0.2592,0.1771,0.1132,0.0304,0.3966,0.3663,No
1,1,Evander Holyfield,0.1885,0.1479,0.1071,0.0183,0.3590,0.3406,No
1,1,Rachel Hunter,0.1680,0.1505,0.1101,0.0189,0.3681,0.3491,No
1,1,Joey McIntyre,0.1367,0.1892,0.1145,0.0401,0.4038,0.3637,No
1,1,Trista Sutter,0.1135,0.1746,0.1140,0.0343,0.3890,0.3548,No
1,2,John O'Hurley,0.1661,0.1568,0.0220,0.1197,0.1931,0.0734,No
1,2,Kelly Monaco,0.2160,0.1639,0.0235,0.1303,0.2095,0.0792,No
1,2,Evander Holyfield,0.1647,0.1736,0.0147,0.1526,0.2035,0.0509,No
1,2,Rachel Hunter,0.1588,0.1766,0.0295,0.1408,0.2403,0.0994,No
1,2,Joey McIntyre,0.1488,0.1922,0.0244,0.1553,0.2353,0.0800,No
1,2,Trista Sutter,0.1456,0.1368,0.0114,0.1184,0.1543,0.0359,Yes
1,3,John O'Hurley,0.2390,0.2116,0.0325,0.1559,0.2658,0.1099,No
1,3,Kelly Monaco,0.2261,0.1997,0.0237,0.1640,0.2363,0.0723,No
1,3,Evander Holyfield,0.1526,0.1811,0.0195,0.1474,0.2108,0.0634,Yes
1,3,Rachel Hunter,0.1863,0.2020,0.0292,0.1485,0.2475,0.0990,No
1,3,Joey McIntyre,0.1961,0.2056,0.0346,0.1582,0.2704,0.1122,No
1,4,John O'Hurley,0.3011,0.2780,0.0420,0.2126,0.3523,0.1397,No
1,4,Kelly Monaco,0.2550,0.2385,0.0206,0.2084,0.2747,0.0663,No
1,4,Rachel Hunter,0.1868,0.2040,0.0184,0.1724,0.2318,0.0594,Yes
1,4,Joey McIntyre,0.2571,0.2795,0.0342,0.2343,0.3426,0.1083,No
1,5,John O'Hurley,0.4035,0.3052,0.1386,0.1065,0.5509,0.4444,No
1,5,Kelly Monaco,0.3712,0.3359,0.1460,0.1156,0.5903,0.4747,No
1,5,Joey McIntyre,0.2253,0.3589,0.1427,0.1370,0.6170,0.4801,No
1,6,John O'Hurley,0.5183,0.4766,0.1546,0.2251,0.7291,0.5040,No
1,6,Kelly Monaco,0.4817,0.5234,0.1546,0.2709,0.7749,0.5040,No
