season,week,celebrity_name,fan_vote_share,method
1,1,John O'Hurley,0.17803076600752146,rank
1,1,Kelly Monaco,0.17172297373948828,rank
1,1,Evander Holyfield,0.18853001808588243,rank
1,1,Rachel Hunter,0.197482134862076,rank
1,1,Joey McIntyre,0.17857811736390378,rank
1,1,Trista Sutter,0.08565598994112807,rank
1,2,John O'Hurley,0.17802854303839769,rank
1,2,Kelly Monaco,0.1878461326872407,rank
1,2,Evander Holyfield,0.17324031715348423,rank
1,2,Rachel Hunter,0.16159303123795826,rank
1,2,Joey McIntyre,0.17773613713596678,rank
1,2,Trista Sutter,0.1215558387469524,rank
1,3,John O'Hurley,0.19753027807542325,rank
1,3,Kelly Monaco,0.2486754941108149,rank
1,3,Evander Holyfield,0.1879974425393539,rank
1,3,Rachel Hunter,0.176024517486362,rank
1,3,Joey McIntyre,0.18977226778804604,rank
1,4,John O'Hurley,0.22634824716367075,rank
1,4,Kelly Monaco,0.3194292652632569,rank
1,4,Rachel Hunter,0.2218297694595065,rank
1,4,Joey McIntyre,0.23239271811356593,rank
1,5,John O'Hurley,0.3311194720932308,rank
1,5,Kelly Monaco,0.4599273528244255,rank
1,5,Joey McIntyre,0.20895317508234368,rank
1,6,John O'Hurley,0.4318888629199538,rank
1,6,Kelly Monaco,0.5681111370800462,rank
2,1,Tatum O'Neal,0.0968709132489071,rank
2,1,Tia Carrere,0.10646505685238983,rank
2,1,George Hamilton,0.11715576863930711,rank
2,1,Lisa Rinna,0.10855724686533848,rank
2,1,Stacy Keibler,0.1128752021792017,rank
2,1,Jerry Rice,0.09022158018544758,rank
2,1,Giselle Fernandez,0.0902807614521495,rank
2,1,Master P,0.10716836268515105,rank
2,1,Drew Lachey,0.09816917543029328,rank
2,1,Kenny Mayne,0.07223593246181437,rank
2,2,Tatum O'Neal,0.10219969638368694,rank
2,2,Tia Carrere,0.11042084563685194,rank
2,2,George Hamilton,0.12759734627789418,rank
2,2,Lisa Rinna,0.12258614908365688,rank
2,2,Stacy Keibler,0.10460165369216279,rank
2,2,Jerry Rice,0.09450061030721912,rank
2,2,Giselle Fernandez,0.11320539552415479,rank
2,2,Master P,0.1170792238950687,rank
2,2,Drew Lachey,0.10780907919930469,rank
2,3,Tia Carrere,0.13884360219080616,rank
2,3,George Hamilton,0.13505762928070184,rank
2,3,Lisa Rinna,0.12123888261147567,rank
2,3,Stacy Keibler,0.1314512817494526,rank
2,3,Jerry Rice,0.12450050362029556,rank
2,3,Giselle Fernandez,0.10551117449276104,rank
2,3,Master P,0.12565731768279742,rank
2,3,Drew Lachey,0.1177396083717098,rank
2,4,Tia Carrere,0.1463432188844836,rank
2,4,George Hamilton,0.12945565904864662,rank
2,4,Lisa Rinna,0.13771235405855947,rank
2,4,Stacy Keibler,0.16562434566395404,rank
2,4,Jerry Rice,0.15238818742978338,rank
2,4,Master P,0.11458669913595666,rank
2,4,Drew Lachey,0.15388953577861625,rank
2,5,Tia Carrere,0.14136476921169244,rank
2,5,George Hamilton,0.15977429745400407,rank
2,5,Lisa Rinna,0.13340968257118144,rank
2,5,Stacy Keibler,0.19110032287182113,rank
2,5,Jerry Rice,0.18583049997541073,rank
2,5,Drew Lachey,0.1885204279158903,rank
2,6,George Hamilton,0.17191843967808396,rank
2,6,Lisa Rinna,0.18408562965946387,rank
2,6,Stacy Keibler,0.2042143809513687,rank
2,6,Jerry Rice,0.23094606004282695,rank
2,6,Drew Lachey,0.20883548966825657,rank
2,7,Lisa Rinna,0.18163163869795657,rank
2,7,Stacy Keibler,0.2354050047245515,rank
2,7,Jerry Rice,0.29477281160698804,rank
2,7,Drew Lachey,0.2881905449705039,rank
2,8,Stacy Keibler,0.26953189629209734,rank
2,8,Jerry Rice,0.36012910796193875,rank
2,8,Drew Lachey,0.37033899574596385,rank
3,1,Harry Hamlin,0.12571250010170004,percent
3,1,Vivica A. Fox,0.09342704692809098,percent
3,1,Monique Coleman,0.07951025068263227,percent
3,1,Joey Lawrence,0.062181999902647306,percent
3,1,Mario Lopez,0.12095089181302267,percent
3,1,Emmitt Smith,0.09357717509714565,percent
3,1,Shanna Moakler,0.07018709665407949,percent
3,1,Willa Ford,0.1008033623321837,percent
3,1,Sara Evans,0.06957928035557753,percent
3,1,Jerry Springer,0.10869500076591697,percent
3,1,Tucker Carlson,0.07537539536700343,percent
3,2,Harry Hamlin,0.10983773514982154,percent
3,2,Vivica A. Fox,0.1057067310834462,percent
3,2,Monique Coleman,0.0813500280650076,percent
3,2,Joey Lawrence,0.0817662400432458,percent
3,2,Mario Lopez,0.12934404111462866,percent
3,2,Emmitt Smith,0.11124993382532418,percent
3,2,Shanna Moakler,0.07783644848647196,percent
3,2,Willa Ford,0.10694831724491395,percent
3,2,Sara Evans,0.08452105771172609,percent
3,2,Jerry Springer,0.11143946727541394,percent
3,3,Harry Hamlin,0.09324613000276201,percent
3,3,Vivica A. Fox,0.10272263527372279,percent
3,3,Monique Coleman,0.0996053722752078,percent
3,3,Joey Lawrence,0.10584468853916158,percent
3,3,Mario Lopez,0.11244532116748475,percent
3,3,Emmitt Smith,0.13685319960253242,percent
3,3,Willa Ford,0.12173764454144856,percent
3,3,Sara Evans,0.10878501351013713,percent
3,3,Jerry Springer,0.118759995087543,percent
3,4,Vivica A. Fox,0.10128780729953035,percent
3,4,Monique Coleman,0.1376986235823301,percent
3,4,Joey Lawrence,0.12423054335595841,percent
3,4,Mario Lopez,0.1173600039263986,percent
3,4,Emmitt Smith,0.13850643070122198,percent
3,4,Willa Ford,0.11638450486869732,percent
3,4,Sara Evans,0.12717093935300527,percent
3,4,Jerry Springer,0.13736114691285795,percent
3,5,Monique Coleman,0.16903580000194246,percent
3,5,Joey Lawrence,0.16872814076103512,percent
3,5,Mario Lopez,0.15839583285736827,percent
3,5,Emmitt Smith,0.12895874431411442,percent
3,5,Willa Ford,0.08529912850429647,percent
3,5,Sara Evans,0.12588922722290108,percent
3,5,Jerry Springer,0.16369312633834218,percent
3,6,Monique Coleman,0.2756131638791676,percent
3,6,Joey Lawrence,0.1809817031740773,percent
3,6,Mario Lopez,0.22034471999442137,percent
3,6,Emmitt Smith,0.11140906318658718,percent
3,6,Jerry Springer,0.21165134976574668,percent
3,7,Monique Coleman,0.20942845909917399,percent
3,7,Joey Lawrence,0.18284926567710375,percent
3,7,Mario Lopez,0.23181744207766988,percent
3,7,Emmitt Smith,0.18519625466295248,percent
3,7,Jerry Springer,0.19070857848310002,percent
3,8,Monique Coleman,0.21026172023492634,percent
3,8,Joey Lawrence,0.21532778040072048,percent
3,8,Mario Lopez,0.27409019419362785,percent
3,8,Emmitt Smith,0.30032030517072533,percent
3,9,Joey Lawrence,0.21510526639617647,percent
3,9,Mario Lopez,0.3545504904928026,percent
3,9,Emmitt Smith,0.43034424311102093,percent
3,10,Mario Lopez,0.4643372983974733,percent
3,10,Emmitt Smith,0.5356627016025268,percent
4,1,John Ratzenberger,0.09432357487509309,percent
4,1,Ian Ziering,0.20341793538092448,percent
4,1,Clyde Drexler,0.03895436354795035,percent
4,1,Laila Ali,0.09923389971514086,percent
4,1,Apolo Anton Ohno,0.0969762865138794,percent
4,1,Shandi Finnessey,0.060687539062338515,percent
4,1,Paulina Porizkova,0.054544309816936525,percent
4,1,Heather Mills,0.07114138774944892,percent
4,1,Billy Ray Cyrus,0.1725493697582027,percent
4,1,Joey Fatone,0.08587234978523195,percent
4,1,Leeza Gibbons,0.022298983794853174,percent
4,2,John Ratzenberger,0.07915056761375343,percent
4,2,Ian Ziering,0.10698827215568879,percent
4,2,Clyde Drexler,0.10303319087600336,percent
4,2,Laila Ali,0.08977523106913689,percent
4,2,Apolo Anton Ohno,0.0773053733052421,percent
4,2,Shandi Finnessey,0.09751290279299461,percent
4,2,Paulina Porizkova,0.07286492381107633,percent
4,2,Heather Mills,0.10195771356019653,percent
4,2,Billy Ray Cyrus,0.10285914120603565,percent
4,2,Joey Fatone,0.09125966378092434,percent
4,2,Leeza Gibbons,0.077293019828948,percent
4,3,John Ratzenberger,0.09925696729969986,percent
4,3,Ian Ziering,0.08735010240970417,percent
4,3,Clyde Drexler,0.11861052167531203,percent
4,3,Laila Ali,0.13848739878819213,percent
4,3,Apolo Anton Ohno,0.08809558431787023,percent
4,3,Shandi Finnessey,0.08024132157539318,percent
4,3,Heather Mills,0.0999052214529458,percent
4,3,Billy Ray Cyrus,0.09104016673977851,percent
4,3,Joey Fatone,0.09642123992134216,percent
4,3,Leeza Gibbons,0.10059147581976198,percent
4,4,John Ratzenberger,0.10488928273472416,percent
4,4,Ian Ziering,0.11702142417403778,percent
4,4,Clyde Drexler,0.13378917421083483,percent
4,4,Laila Ali,0.1450361542054178,percent
4,4,Apolo Anton Ohno,0.09019788744766127,percent
4,4,Heather Mills,0.10651779061195994,percent
4,4,Billy Ray Cyrus,0.08857630485649216,percent
4,4,Joey Fatone,0.113760867352651,percent
4,4,Leeza Gibbons,0.10021111440622113,percent
4,5,John Ratzenberger,0.10853273796952084,percent
4,5,Ian Ziering,0.12355771016841752,percent
4,5,Clyde Drexler,0.12363020549917973,percent
4,5,Laila Ali,0.15160754875440463,percent
4,5,Apolo Anton Ohno,0.1383442220041534,percent
4,5,Heather Mills,0.11174179126133697,percent
4,5,Billy Ray Cyrus,0.1187629639027445,percent
4,5,Joey Fatone,0.1238228204402425,percent
4,6,John Ratzenberger,0.1350333909954577,percent
4,6,Ian Ziering,0.13582919779860164,percent
4,6,Laila Ali,0.1704807678905068,percent
4,6,Apolo Anton Ohno,0.16132907185336973,percent
4,6,Heather Mills,0.10514662705560195,percent
4,6,Billy Ray Cyrus,0.15088172392825444,percent
4,6,Joey Fatone,0.14129922047820787,percent
4,7,John Ratzenberger,0.1332006852885553,percent
