season,name,mean_delta,placement_rank,placement_percent,Y_diff,actual_placement,category,delta_bin,Y_abs
1,Kelly Monaco,0.06478726091816354,6,1,-5,1,Fan-Favored,"(0.0596, 0.0687]",5
1,Trista Sutter,-0.057475289689624225,5,6,1,6,Judge-Favored,"(-0.0599, -0.0507]",1
1,Evander Holyfield,0.04876205810900539,4,5,1,5,Fan-Favored,"(0.0412, 0.0504]",1
1,John O'Hurley,-0.029227987321988544,3,3,0,2,Judge-Favored,"(-0.0323, -0.0231]",0
1,Rachel Hunter,-0.035481510556732765,2,2,0,4,Judge-Favored,"(-0.0415, -0.0323]",0
1,Joey McIntyre,-0.02055303885957746,1,4,3,3,Judge-Favored,"(-0.0231, -0.0139]",3
2,Kenny Mayne,0.005569265795147632,10,10,0,10,Neutral,"(0.00443, 0.0136]",0
2,Tatum O'Neal,-0.0019390541580619758,9,9,0,9,Neutral,"(-0.00476, 0.00443]",0
2,Giselle Fernandez,-0.016610169119591206,8,1,-7,8,Judge-Favored,"(-0.0231, -0.0139]",7
2,Master P,0.04884928838625754,7,8,1,7,Fan-Favored,"(0.0412, 0.0504]",1
2,Tia Carrere,-0.003181392996939611,6,6,0,6,Neutral,"(-0.00476, 0.00443]",0
2,George Hamilton,0.008831367768116665,5,7,2,5,Neutral,"(0.00443, 0.0136]",2
2,Lisa Rinna,-0.019786895364160586,4,5,1,4,Judge-Favored,"(-0.0231, -0.0139]",1
2,Stacy Keibler,-0.02371162545418959,3,3,0,3,Judge-Favored,"(-0.0323, -0.0231]",0
2,Drew Lachey,-0.008500439666748282,2,2,0,1,Neutral,"(-0.0139, -0.00476]",0
2,Jerry Rice,0.026483217903417844,1,4,3,2,Fan-Favored,"(0.0228, 0.032]",3
3,Sara Evans,-9.865592134991052e-05,11,1,-10,6,Neutral,"(-0.00476, 0.00443]",10
3,Shanna Moakler,-0.016267144574925334,10,10,0,10,Judge-Favored,"(-0.0231, -0.0139]",0
3,Harry Hamlin,0.017007714982066175,9,9,0,9,Fan-Favored,"(0.0136, 0.0228]",0
3,Vivica A. Fox,-0.014156023557160915,8,8,0,8,Neutral,"(-0.0231, -0.0139]",0
3,Jerry Springer,0.03087977943650139,7,5,-2,5,Fan-Favored,"(0.0228, 0.032]",2
3,Joey Lawrence,-0.029381556175349235,6,3,-3,3,Judge-Favored,"(-0.0323, -0.0231]",3
3,Monique Coleman,0.002623075402337683,5,4,-1,4,Neutral,"(-0.00476, 0.00443]",1
3,Mario Lopez,0.0028277502113036785,4,2,-2,2,Neutral,"(-0.00476, 0.00443]",2
3,Willa Ford,-0.013893246556641805,3,7,4,7,Neutral,"(-0.0139, -0.00476]",4
3,Tucker Carlson,0.018771621782097736,2,11,9,11,Fan-Favored,"(0.0136, 0.0228]",9
3,Emmitt Smith,0.008833657323104909,1,6,5,1,Neutral,"(0.00443, 0.0136]",5
4,Leeza Gibbons,-0.013109373820034919,11,11,0,9,Neutral,"(-0.0139, -0.00476]",0
4,Paulina Porizkova,-0.02526903089750539,10,10,0,11,Judge-Favored,"(-0.0323, -0.0231]",0
4,Shandi Finnessey,-0.010584724856197984,9,9,0,10,Neutral,"(-0.0139, -0.00476]",0
4,Billy Ray Cyrus,0.026527393354732455,8,5,-3,5,Fan-Favored,"(0.0228, 0.032]",3
4,John Ratzenberger,0.007218071788538343,7,8,1,6,Neutral,"(0.00443, 0.0136]",1
4,Heather Mills,-0.012447327820355429,6,6,0,7,Neutral,"(-0.0139, -0.00476]",0
4,Ian Ziering,0.0027452071903885885,5,4,-1,4,Neutral,"(-0.00476, 0.00443]",1
4,Laila Ali,-5.202145792225638e-05,4,3,-1,3,Neutral,"(-0.00476, 0.00443]",1
4,Apolo Anton Ohno,-0.01076762849798334,3,2,-1,1,Neutral,"(-0.0139, -0.00476]",1
4,Clyde Drexler,0.028134532988804733,2,7,5,8,Fan-Favored,"(0.0228, 0.032]",5
4,Joey Fatone,-0.011051498089021842,1,1,0,2,Neutral,"(-0.0139, -0.00476]",0
5,Josie Maran,-0.004734052808118602,12,12,0,12,Neutral,"(-0.00476, 0.00443]",0
5,Albert Reed,-0.02327676443336675,11,11,0,11,Judge-Favored,"(-0.0323, -0.0231]",0
5,Wayne Newton,0.018466887560088255,10,10,0,10,Fan-Favored,"(0.0136, 0.0228]",0
5,Floyd Mayweather Jr. ,0.001029427167511903,9,9,0,9,Neutral,"(-0.00476, 0.00443]",0
