name,season,controversy_type,weighted_gap,is_specified,placement_rank,placement_percent,placement_save,delta_percent,delta_save,weeks,fan_top10_rate,fan_bot10_rate,fan_max,fan_min
Jerry Rice,2,neutral,1.375,True,1,4,8,3,7,8.0,0.25,0.0,0.3601291079619387,0.0902215801854475
Harry Hamlin,3,fan-favored,2.833333333333333,False,9,9,1,0,-8,,,,,
Jerry Springer,3,fan-favored,1.969387755102041,False,7,5,9,-2,2,,,,,
Shanna Moakler,3,judge-favored,2.5,False,10,10,3,0,-7,,,,,
Vivica A. Fox,3,judge-favored,2.25,False,8,8,8,0,0,,,,,
Willa Ford,3,judge-favored,2.14,False,1,7,2,6,1,,,,,
Billy Ray Cyrus,4,fan-favored,1.078125,True,8,5,7,-3,-1,,,,,
Clyde Drexler,4,fan-favored,3.64,False,1,7,8,6,7,,,,,
Paulina Porizkova,4,judge-favored,2.625,False,10,10,10,0,0,,,,,
Shandi Finnessey,4,neutral,2.388888888888889,False,9,9,1,0,-8,,,,,
Albert Reed,5,judge-favored,2.5,False,11,11,11,0,0,,,,,
Mark Cuban,5,fan-favored,1.98,False,8,8,9,0,1,,,,,
Sabrina Bryan,5,judge-favored,2.111111111111111,False,2,7,3,5,1,,,,,
Penn Jillette,6,fan-favored,2.25,False,1,1,2,0,1,,,,,
Priscilla Presley,6,neutral,2.82,False,8,8,8,0,0,,,,,
Steve Guttenberg,6,fan-favored,2.333333333333333,False,10,10,10,0,0,,,,,
Misty May-Treanor,7,judge-favored,3.75,False,3,1,2,-2,-1,,,,,
Denise Richards,8,judge-favored,2.722222222222222,False,11,1,1,-10,-10,,,,,
Steve Wozniak,8,fan-favored,5.375,False,10,10,10,0,0,,,,,
Debi Mazar,9,neutral,2.777777777777778,False,14,14,5,0,-9,,,,,
Michael Irvin,9,fan-favored,3.204081632653061,False,6,10,6,4,0,,,,,
Natalie Coughlin,9,judge-favored,2.24,False,12,12,12,0,0,,,,,
Buzz Aldrin,10,fan-favored,3.111111111111111,False,11,9,11,-2,0,,,,,
Kate Gosselin,10,fan-favored,2.4799999999999995,False,10,7,10,-3,0,,,,,
Nicole Scherzinger,10,judge-favored,1.955,False,3,3,2,0,-1,,,,,
Shannen Doherty,10,judge-favored,2.75,False,2,10,1,8,-1,,,,,
Bristol Palin,11,fan-favored,1.515,True,7,2,7,-5,0,,,,,
Chynna Phillips,13,judge-favored,2.6875,False,2,9,1,7,-1,,,,,
Elisabetta Canalis,13,neutral,3.75,False,3,11,2,8,-1,,,,,
Kristin Cavallari,13,judge-favored,2.7222222222222228,False,10,10,4,0,-6,,,,,
Gavin DeGraw,14,fan-favored,2.52,False,12,8,12,-4,0,,,,,
Jack Wagner,14,neutral,2.055555555555556,False,10,10,10,0,0,,,,,
Martina Navratilova,14,fan-favored,2.25,False,11,11,11,0,0,,,,,
