name,season,placement,controversy_type,weighted_gap,weeks_lowest_judge,total_weeks,placement_rank,placement_percent,placement_save
Mischa Barton,22,11,fan-favored,5.4444444444444455,1,3,11,15.0,12.0
Steve Wozniak,8,10,fan-favored,5.375,3,4,10,14.0,11.0
Brian Austin Green,30,13,fan-favored,3.8125,1,4,13,16.90625,13.3
Clyde Drexler,4,8,fan-favored,3.64,4,5,8,11.82,9.0
Helio Castroneves,15,10,judge-favored,3.611111111111111,0,3,10,9.0,10.3
Babyface,23,11,fan-favored,3.53125,1,4,11,14.765625,11.3
Tinashe,27,10,judge-favored,3.28125,0,4,10,9.015625,10.3
Michael Irvin,9,7,fan-favored,3.204081632653061,4,7,7,10.60204081632653,8.0
Selma Blair,31,12,judge-favored,3.16,0,5,12,11.052,12.3
Buzz Aldrin,10,10,fan-favored,3.111111111111111,3,3,10,13.555555555555555,11.0
Adrian Peterson,32,11,fan-favored,3.09375,0,4,11,14.546875,11.3
Bristol Palin,15,9,fan-favored,3.0,2,4,9,12.5,10.0
Christina Milian,17,9,judge-favored,2.98,0,5,9,8.106,9.3
Harry Hamlin,3,9,fan-favored,2.833333333333333,0,3,9,12.416666666666666,9.3
Priscilla Presley,6,8,neutral,2.82,1,5,8,8.564,8.3
Debi Mazar,9,12,neutral,2.777777777777778,0,3,12,12.555555555555555,12.3
Kristin Cavallari,13,10,judge-favored,2.7222222222222228,0,3,10,9.183333333333334,10.3
Denise Richards,8,12,judge-favored,2.722222222222222,0,3,12,11.183333333333334,12.3
Christine Chiu,30,14,judge-favored,2.722222222222222,0,3,14,13.183333333333334,14.3
Jessie James Decker,31,10,fan-favored,2.708333333333333,0,6,10,13.354166666666666,10.3
Heather Morris,24,8,judge-favored,2.694444444444444,0,6,8,7.191666666666666,8.3
Chynna Phillips,13,9,judge-favored,2.6875,0,4,9,8.19375,9.3
Rick Perry,23,12,fan-favored,2.611111111111111,3,3,12,15.305555555555555,13.0
Paula Deen,21,9,fan-favored,2.555555555555556,3,6,9,12.277777777777779,10.0
Reginald VelJohnson,33,10,fan-favored,2.555555555555556,2,3,10,13.277777777777779,11.0
Vinny Guadagnino,31,7,fan-favored,2.546875,6,8,7,10.2734375,8.0
Gavin DeGraw,14,9,fan-favored,2.52,3,5,9,12.26,10.0
Jodie Sweetin,22,6,neutral,2.484375,1,8,6,6.496875,6.3
Kate Gosselin,10,8,fan-favored,2.4799999999999995,2,5,8,11.24,9.0
Whitney Leavitt,34,6,judge-favored,2.4400000000000004,0,10,6,5.268,6.3
