name,season,placement,avg_abs_gap,max_gap,weighted_gap,weeks_lowest_judge,total_weeks,mean_delta,controversy_type,is_specified
Evander Holyfield,1,5,1.8333333333333333,2.5,1.0555555555555556,2,3,1.8333333333333333,fan-favored,False
Joey McIntyre,1,3,0.6,2.0,0.36,2,5,0.2,neutral,False
John O'Hurley,1,2,0.6666666666666666,2.0,0.25,1,6,-0.6666666666666666,neutral,False
Kelly Monaco,1,1,1.5,4.0,0.638888888888889,1,6,1.5,fan-favored,False
Rachel Hunter,1,4,2.5,4.0,1.6875,0,4,-2.0,judge-favored,False
Drew Lachey,2,1,2.0625,5.5,0.625,0,8,-2.0625,judge-favored,False
George Hamilton,2,5,2.5833333333333335,7.0,0.8194444444444445,1,6,2.4166666666666665,fan-favored,False
Giselle Fernandez,2,8,3.0,5.5,1.6666666666666667,0,3,-3.0,judge-favored,False
Jerry Rice,2,2,2.8125,5.0,1.375,3,8,0.5625,neutral,True
Lisa Rinna,2,4,2.642857142857143,5.0,1.1836734693877549,0,7,-0.07142857142857142,neutral,False
Master P,2,7,4.0,6.0,1.875,4,4,4.0,fan-favored,False
Stacy Keibler,2,3,1.875,6.0,0.8125,0,8,-1.0,neutral,False
Tia Carrere,2,6,0.9,2.0,0.52,1,5,0.9,neutral,False
Emmitt Smith,3,1,2.65,8.0,1.1800000000000002,3,10,0.45,neutral,False
Harry Hamlin,3,9,4.833333333333333,7.0,2.8333333333333335,0,3,2.5,fan-favored,False
Jerry Springer,3,5,4.357142857142857,8.0,1.9693877551020407,4,7,4.357142857142857,fan-favored,False
Joey Lawrence,3,3,2.7222222222222223,7.0,1.08641975308642,1,9,-2.0555555555555554,judge-favored,False
Mario Lopez,3,2,2.05,7.0,0.8,2,10,0.05,neutral,False
Monique Coleman,3,4,3.0,7.0,1.34375,1,8,-0.625,neutral,False
Sara Evans,3,6,1.5,4.0,1.06,2,5,0.7,neutral,False
Vivica A. Fox,3,8,3.375,5.5,2.25,0,4,-3.375,judge-favored,False
Willa Ford,3,7,2.7,5.0,2.1399999999999997,0,5,-1.3,judge-favored,False
Apolo Anton Ohno,4,1,2.15,7.0,0.85,0,10,-1.65,judge-favored,False
Billy Ray Cyrus,4,5,2.875,9.0,1.078125,3,8,2.0,fan-favored,True
Clyde Drexler,4,8,5.8,9.0,3.6399999999999997,4,5,5.4,fan-favored,False
Heather Mills,4,7,1.1666666666666667,2.0,0.875,0,6,-1.1666666666666667,judge-favored,False
Ian Ziering,4,4,1.7222222222222223,6.5,0.5493827160493827,1,9,-0.16666666666666666,neutral,False
Joey Fatone,4,2,2.0,5.0,0.7750000000000001,0,10,-1.7,judge-favored,False
John Ratzenberger,4,6,1.8571428571428572,4.0,0.9183673469387754,1,7,0.8571428571428571,neutral,False
Laila Ali,4,3,2.1,6.0,0.74,1,10,0.4,neutral,False
Leeza Gibbons,4,9,1.125,2.5,0.59375,0,4,-0.875,neutral,False
Shandi Finnessey,4,10,3.5,5.0,2.388888888888889,0,3,-0.16666666666666666,neutral,False
Cameron Mathison,5,5,2.0,4.0,0.9453125,0,8,-0.75,neutral,False
Floyd Mayweather Jr. ,5,9,2.5,6.0,1.6875,0,4,1.0,neutral,False
Helio Castroneves,5,1,1.9,6.0,0.76,0,10,-0.6,neutral,False
Jane Seymour,5,6,2.5714285714285716,6.0,1.3265306122448979,2,7,1.4285714285714286,fan-favored,False
Jennie Garth,5,4,2.0555555555555554,6.0,0.6975308641975309,0,9,0.6111111111111112,neutral,False
Marie Osmond,5,3,3.35,7.0,1.735,4,10,1.05,fan-favored,False
Mark Cuban,5,8,3.5,7.0,1.98,2,5,3.3,fan-favored,False
Mel B,5,2,2.3,7.5,0.9400000000000001,0,10,-1.5,judge-favored,False
Sabrina Bryan,5,7,4.083333333333333,6.0,2.111111111111111,0,6,-4.083333333333333,judge-favored,False
Wayne Newton,5,10,3.6666666666666665,6.0,1.888888888888889,2,3,3.6666666666666665,fan-favored,False
Adam Carolla,6,9,1.5,2.0,0.875,2,4,1.5,fan-favored,False
Cristian de la Fuente,6,3,2.4,7.0,0.9099999999999999,2,10,-1.8,judge-favored,False
Jason Taylor,6,2,3.25,7.5,1.17,0,10,-1.85,judge-favored,False
Kristi Yamaguchi,6,1,2.6,7.0,1.0699999999999998,0,10,-2.2,judge-favored,False
Mario,6,5,2.375,4.5,1.078125,0,8,-1.125,judge-favored,False
Marissa Jaret Winokur,6,4,2.888888888888889,9.0,1.154320987654321,3,9,2.4444444444444446,fan-favored,False
Marlee Matlin,6,7,2.9166666666666665,5.0,1.527777777777778,1,6,1.4166666666666667,fan-favored,False
Priscilla Presley,6,8,4.8,7.0,2.82,1,5,1.0,neutral,False
Shannon Elizabeth,6,6,2.5,5.0,1.3775510204081631,0,7,0.21428571428571427,neutral,False
Steve Guttenberg,6,10,4.666666666666667,7.5,2.3333333333333335,0,3,4.666666666666667,fan-favored,False
Brooke Burke,7,1,0.75,3.0,0.35500000000000004,0,10,-0.05,neutral,False
Cloris Leachman,7,7,2.4166666666666665,4.0,1.013888888888889,4,6,2.4166666666666665,fan-favored,False
Cody Linley,7,4,2.7222222222222223,6.0,1.0925925925925926,2,9,-2.1666666666666665,judge-favored,False
Lance Bass,7,3,1.7,3.5,0.9200000000000002,2,10,-0.7,neutral,False
Maurice Greene,7,5,2.75,6.0,1.1484375,1,8,2.0,fan-favored,False
Rocco DiSpirito,7,9,2.5,5.0,1.5625,1,4,2.5,fan-favored,False
Susan Lucci,7,6,2.0714285714285716,3.5,1.1224489795918369,0,7,0.5,neutral,False
Toni Braxton,7,8,2.2,4.0,1.2,0,5,-0.4,neutral,False
Warren Sapp,7,2,2.9,7.5,1.1099999999999999,2,10,-1.5,judge-favored,False
Chuck Wicks,8,6,1.3125,4.5,0.75,0,8,0.1875,neutral,False
David Alan Grier,8,9,2.6,7.5,1.44,0,5,0.6,neutral,False
Denise Richards,8,12,4.166666666666667,8.0,2.722222222222222,0,3,-4.166666666666667,judge-favored,False
Gilles Marini,8,2,3.1363636363636362,10.0,1.0578512396694213,0,11,-2.227272727272727,judge-favored,False
Holly Madison,8,11,1.75,3.0,1.28125,0,4,0.75,neutral,False
Lawrence Taylor,8,7,3.2857142857142856,9.0,1.2653061224489797,1,7,3.0,fan-favored,False
Lil' Kim,8,5,2.1666666666666665,4.0,1.2037037037037035,0,9,-1.7222222222222223,judge-favored,False
Melissa Rycroft,8,3,1.5909090909090908,5.0,0.8305785123966941,2,11,-0.3181818181818182,neutral,False
Shawn Johnson,8,1,2.1818181818181817,6.0,0.78099173553719,0,11,-1.5454545454545454,judge-favored,False
Steve Wozniak,8,10,9.625,12.0,5.375,3,4,9.625,fan-favored,False
Steve-O,8,8,2.75,8.0,1.1249999999999998,3,6,1.5833333333333333,fan-favored,False
Ty Murray,8,4,1.85,5.0,0.8150000000000001,2,10,-0.25,neutral,False
Aaron Carter,9,5,1.6875,5.0,0.8984375,1,8,0.6875,neutral,False
