alpha,beta,ban_consecutive_weeks,legitimacy,engagement,robustness,transparency,score
0.2,0.4,2,0.5185487992091765,0.7956213074137602,0.877,0.65,0.9064337642860285
0.2,0.4,3,0.5185487992091765,0.7956213074137602,0.877,0.65,0.9064337642860285
0.2,0.5,2,0.5185487992091765,0.7956213074137602,0.907,0.65,0.9193337642860284
0.2,0.5,3,0.5185487992091765,0.7956213074137602,0.907,0.65,0.9193337642860284
0.2,0.6,2,0.5185487992091765,0.7956213074137602,0.937,0.65,0.9322337642860284
0.2,0.6,3,0.5185487992091765,0.7956213074137602,0.937,0.65,0.9322337642860284
0.3,0.4,2,0.5261794285379191,0.7916839449858317,0.877,0.65,0.9095724044718384
0.3,0.4,3,0.5261794285379191,0.7916839449858317,0.877,0.65,0.9095724044718384
0.3,0.5,2,0.5261794285379191,0.7916839449858317,0.907,0.65,0.9224724044718384
0.3,0.5,3,0.5261794285379191,0.7916839449858317,0.907,0.65,0.9224724044718384
0.3,0.6,2,0.5261794285379191,0.7916839449858317,0.937,0.65,0.9353724044718384
0.3,0.6,3,0.5261794285379191,0.7916839449858317,0.937,0.65,0.9353724044718384
0.4,0.4,2,0.5373573491498019,0.8060312329180253,0.877,0.65,0.9187965786205409
0.4,0.4,3,0.5373573491498019,0.8060312329180253,0.877,0.65,0.9187965786205409
0.4,0.5,2,0.5373573491498019,0.8060312329180253,0.907,0.65,0.9316965786205409
0.4,0.5,3,0.5373573491498019,0.8060312329180253,0.907,0.65,0.9316965786205409
0.4,0.6,2,0.5373573491498019,0.8060312329180253,0.937,0.65,0.9445965786205408
0.4,0.6,3,0.5373573491498019,0.8060312329180253,0.937,0.65,0.9445965786205408
